participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_WA_Raw	WJ-III_WA_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_MathFluency_Raw	WJ-III_MathFluency_StS	WJ-III_SpatialRelations_Raw	WJ-III_SpatialRelations_Letter	WJ-III_SpatialRelations_StS	WJ-III_BRS_StS
sub-002	54	110	23	107	34	118	63	111	71	D	116	116
sub-003	63	119	29	116	34	109	65	99	70	D	108	119
sub-004	60	117	28	115	34	114	41	83	73	D	118	117
sub-005	63	113	27	107	32	98	126	130	70	D	106	111
sub-006	55	114	28	118	31	111	68	113	66	D	108	117
sub-007	61	117	23	103	33	108	100	128	69	D	108	111
sub-008	64	109	27	104	38	113	95	104	74	D	111	106
sub-009	53	119	22	113	30	115	56	118	63	D	107	118
sub-010	65	123	28	113	34	110	56	93	73	D	115	120
sub-011	59	118	25	110	31	107	106	143	66	D	106	115
sub-012	67	118	31	123	39	118	64	85	77	D	121	123
sub-013	65	108	26	100	42	126	100	104	71	D	104	104
sub-015	60	105	18	92	32	97	50	78	31	D	92	96
sub-016	65	112	29	112	31	93	97	106	64	D	95	116
sub-017	59	117	26	111	33	113	63	109	68	D	109	115
sub-019	66	123	31	125	36	114	85	110	78	D	129	127
sub-020	58	106	25	104	33	103	89	112	74	D	116	106
sub-021	64	125	28	116	32	109	36	84	73	D	119	122
sub-023	62	114	27	109	29	93	61	92	67	D	102	112
sub-024	58	113	29	117	30	100	51	95	66	D	104	116
sub-025	63	112	29	113	38	117	101	114	73	D	111	114
sub-029	51	101	25	70	23	22	46	91	68	D	108	105
sub-030	59	107	28	111	34	106	98	115	74	D	115	110
sub-031	62	113	25	103	36	113	66	94	70	D	107	109
sub-034	61	119	25	109	33	112	50	92	58	D	94	115
sub-035	60	111	24	102	31	98	80	104	63	D	97	107
sub-036	55	108	24	106	31	104	55	100	62	D	98	108
sub-038	73	130	27	102	39	114	94	99	76	D	115	118
sub-039	58	95	15	86	32	93	70	85	70	D	103	91
sub-040	66	116	30	117	33	98	109	114	65	D	96	119
sub-041	45	98	24	109	27	99	70	117	64	D	104	103
sub-043	62	102	25	99	34	99	94	96	72	D	107	100
sub-044	69	130	30	118	35	109	117	126	66	D	100	127
sub-045	47	95	13	91	31	103	51	91	77	D	130	93
sub-047	60	114	25	106	34	110	38	78	68	D	106	111
sub-048	69	133	28	113	34	110	75	108	72	D	113	125
sub-049	68	129	32	131	38	122	58	89	72	D	112	133
sub-052	47	84	13	86	32	96	52	75	66	D	98	85
sub-054	64	103	23	94	34	97	96	100	63	D	92	98
sub-055	58	106	26	106	29	94	59	90	61	D	93	96
sub-056	46	93	18	96	26	92	63	103	67	D	105	94
sub-057	49	100	18	98	28	98	66	108	61	D	98	99
sub-059	64	109	22	95	38	114	58	77	76	D	117	101
sub-060	57	106	23	101	34	108	63	97	75	D	119	104
sub-061	54	98	14	89	36	113	69	96	69	D	105	94
sub-062	63	106	29	111	36	106	138	128	67	D	98	110
sub-063	58	107	21	98	34	108	50	84	69	D	106	100
sub-064	60	120	24	109	32	111	57	107	70	D	114	115
sub-066	42	93	17	98	27	98	38	90	52	D	88	95
sub-067	51	85	18	89	29	85	51	71	72	D	106	87
sub-070	63	107	30	116	36	107	79	94	58	D	86	113
sub-071	53	115	25	114	29	108	29	88	61	D	101	115
sub-073	57	112	25	109	31	105	33	81	58	D	94	111
sub-075	61	98	27	102	35	100	69	79	76	D	115	99
sub-078	45	83	16	90	26	84	48	73	55	D	84	86
sub-080	44	95	20	102	23	91	45	94	56	D	98	98
